2026-05-01 20:54:54,993 [DEBUG] [MainThread] [glazewm_client/client.py:128]: Connected to ws://localhost:6123
2026-05-01 20:54:54,999 [DEBUG] [MainThread] [glazewm_client/client.py:130]: Sent initial message: sub -e workspace_activated workspace_deactivated workspace_updated focus_changed focused_container_moved
2026-05-01 20:54:54,999 [DEBUG] [MainThread] [glazewm_client/client.py:130]: Sent initial message: query monitors
2026-05-01 20:54:55,323 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:54:57,283 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:54:58,323 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:00,282 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:01,323 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:03,282 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:04,328 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:06,282 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:07,323 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:09,282 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:10,323 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:12,282 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:13,323 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:15,277 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:16,323 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:18,283 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:19,324 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:21,282 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:22,323 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:24,283 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:25,324 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:27,282 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:28,323 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:30,282 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:31,322 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:33,282 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:34,323 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:36,281 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:37,322 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:39,281 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:39,577 [DEBUG] [Thread-7] [root/watcher.py:84]: Stylesheet modified: c:\users\omarpc\.config\yasb\styles.css
2026-05-01 20:55:40,324 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:42,281 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:55:43,323 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
